Remitente: eljavi, Destinatario: Santiaguillo, Contenido: aña
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: ghjghj
Remitente: eljavi, Destinatario: Santiaguillo, Contenido: hola lindo
Remitente: eljavi, Destinatario: Santiaguillo, Contenido: hola santiaguillo
Remitente: eljavi, Destinatario: j, Contenido: hola j como estas
Remitente: j, Destinatario: Santiaguillo, Contenido: hola santi como estas
Remitente: Santiaguillo, Destinatario: sebas123, Contenido: sebas como estas el dia de hoy mi negrito
Remitente: Santiaguillo, Destinatario: sebas123, Contenido: podrias evitar mostrarme tus cosas
Remitente: sebas123, Destinatario: eljavi, Contenido: asdasdsd
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: hola lindo}
Remitente: j, Destinatario: eljavi, Contenido: hola javi
Remitente: sebas123, Destinatario: eljavi, Contenido: Hola
Remitente: sebas123, Destinatario: eljavi, Contenido: Holaaa
Remitente: sebas123, Destinatario: eljavi, Contenido: Holii uwu
Remitente: sebas123, Destinatario: eljavi, Contenido: Holiii
Remitente: eljavi, Destinatario: sebas123, Contenido: holasd
Remitente: sebas123, Destinatario: eljavi, Contenido: UwU
Remitente: sebas123, Destinatario: eljavi, Contenido: Hola Mundo Cristian te amo
Remitente: eljavi, Destinatario: sebas123, Contenido: holanegrito
Remitente: sebas123, Destinatario: eljavi, Contenido: Hola perro
Remitente: sebas123, Destinatario: eljavi, Contenido: Tkm
Remitente: eljavi, Destinatario: sebas123, Contenido: asdasd
Remitente: eljavi, Destinatario: sebas123, Contenido: asdasdasd
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: aaaaaaaaaaaaaaaaaaaa
Remitente: eljavi, Destinatario: sebas123, Contenido: dsdsd
Remitente: sebas123, Destinatario: eljavi, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: hola asd
Remitente: eljavi, Destinatario: sebas123, Contenido: asdasda
Remitente: eljavi, Destinatario: sebas123, Contenido: asdddddddddddddddddddd
Remitente: eljavi, Destinatario: sebas123, Contenido: aaaaaaaaaaaaaaaa
Remitente: eljavi, Destinatario: sebas123, Contenido: wwqeqwe
Remitente: eljavi, Destinatario: sebas123, Contenido: asd
Remitente: eljavi, Destinatario: sebas123, Contenido: sdfsdfs
Remitente: eljavi, Destinatario: sebas123, Contenido: maldito mono
Remitente: eljavi, Destinatario: sebas123, Contenido: asdasd
